condition;lambda;gen_time;temp;food
inter_20;0.994265958885412;152.306260493521;20;inter
inter_20;1.00164355308023;153.295473982027;20;inter
inter_20;1.00202383365218;154.445570889396;20;inter
inter_20;1.00275895662794;152.454760031385;20;inter
inter_20;1.00188622888746;147.371821614906;20;inter
inter_20;1.00430138888991;156.351539852422;20;inter
inter_20;1.00793275918796;151.460062098003;20;inter
inter_20;1.00659412265633;159.615640442791;20;inter
inter_20;1.00270756524775;150.355342603352;20;inter
inter_20;1.00205415258355;147.984443256966;20;inter
inter_20;0.999276894367731;149.116389178662;20;inter
inter_20;0.999456341474485;147.184661918906;20;inter
inter_20;1.00562730333897;157.499999313914;20;inter
inter_20;1.00358911006477;145.377541728291;20;inter
inter_20;1.00429466289921;151.993969105145;20;inter
inter_20;1.00039812323669;147.306876090035;20;inter
inter_20;1.00074791664203;145.459791331056;20;inter
inter_20;1.00644862406639;150.737502456413;20;inter
inter_20;1.00295553603811;155.530578407297;20;inter
inter_20;0.998286850546876;148.464428860083;20;inter
inter_20;1.00093743586109;144.075585060709;20;inter
inter_20;1.00510478353076;150.305014234146;20;inter
inter_20;1.01417786405759;165.315514126404;20;inter
inter_20;1.00219141047651;155.052466669735;20;inter
inter_20;1.00979385476043;155.175386224796;20;inter
inter_20;1.00041848914236;153.69277992786;20;inter
inter_20;0.998485595466014;145.707469626046;20;inter
inter_20;0.995092002260049;152.688316272158;20;inter
inter_20;1.0053880311712;152.798140337705;20;inter
inter_20;1.00111041065127;148.524175777237;20;inter
inter_20;1.00408501105921;147.619548256023;20;inter
inter_20;1.00328513828633;150.495707009292;20;inter
inter_20;1.0084248268099;152.18002230111;20;inter
inter_20;1.00209246216004;149.621238507037;20;inter
inter_20;1.0122210228515;156.024652442381;20;inter
inter_20;1.00735590830139;153.359576450179;20;inter
inter_20;1.00857654897402;153.300849340403;20;inter
inter_20;1.00419431511626;165.23566153452;20;inter
